"","text"
"484","and im nice for this  stars its like disneyland but for bali cultural stuff not really much to do there yet they want to build swimming pools and so on "
"485","good place to visit play photo session and enjoy k rupiah for adults ticket already include all kind of traditional dances going inside the pura see the mighty statue going inside the mini cinema animated garuda  wisnus "
"486","nice place the big statue can be seen from the airport itself its maintained very well and staffs very friendly"
"487","great place to visit have k entry fees along with k parking fees for bike you can spend  hours here"
"488","its great bali culture arena there is kecak dance performance at noon its good landscape to take picture the garuda wisnu kencana is the main statue and its declared as the rd highest statue there are also garuda head statue and wisnu statue"
"489","in general the cultural park looks good but at the moment the price reward ratio is not as good as it could be theres still a bit of construction going on and you pay more than in all of the other main sightseeing temples the main "
"490","marevlous statue about local folklore with art museum nice karst view breathtaking ocean view it os worth to see the all area of this place"
"491","really awesome place with alot of culture i just wish we knew that construction is not complete other than that this place is a must see if your in bali"
"492","there are a number of displays of historical significance there is a large rock carving of the mythical bird garuda which is very impressive there is also an enormous copper and brass sculpture of the hindu god wisnu perched on garuda "
"493","clean area nice to have a walk and enjoy the cultural show recommended to come in the dusk time"
"494","things you can expect when visiting gwk cultural park are seeing giant statue of garuda bird and god vishnu balinese dance performances segway rental and fun ride at the lotus pond and souvenir shops paid local guides are available if you are curious about the story of the god vishnu and garuda bird"
"495","must visit when you go bali whats amazing is when you move up you get really great view of the island"
"496","it is indeed one big statue that make us proud i suggest you to make this either the last or first one of your itinerary since  the real enjoyment is to read the whole history of the statue which is amazing to me and have your selfie on the glass floor on rd"
"497","after  april   am back againt on  juni "
"498","its an impressive structure and took nearly  years to complete  it can be seen from the main beaches and has great views from the statue  the surrounding area is carved out of limestone cliffs as its in a former quarry however its "
"499","this place was not originally in out itinerary but i am so glad that we visited it for the price of the ticket you get a welcome drink nestea and indonesian dances we came around  pm and got to enjoy two shows where you can really "
"500","most place have their ticketing gate and entrance gate next to each other we walk like thousands mile from parking lot to entrance gate then have to go back to buy tickets  thanks gwk maybe next tim "
"501","good place but not good for student lol it was so expensive but i didnt get equal in  the big statue of garuda wisnu kencana will finished actually the managers is alam sutera so that it will being a park of dwelling"
"502","many closed area for public due to the prepare for g meeting when i was there last week so i can say more"
"503","amazing place to visit with your familywith amazing view and if you are local you will get   off for your entrance ticket come on have a visit before the offer last"
"504","good place to visit it was not a ancient temple build withing few decades should be there when events are started"
"505","at this time i was immediately amazed by the beauty of the garuda wisnu kencana  the field is spacious and the service is really good  then the facilities are adequate from bicycles and buggy cars  always crowded with visitors  there "
"506","gwk is a must see activity whilst in bali just seeing tbe island from this height is worth it but the organization and the scale of the project is commendable and makes it a worthwhile trip it wasnt "
"507","huge park mighty statues beautiful walkways interesting performances in the amphitheater nice cafes all for k idr"
"508","not much to see the lift to the top view point was closed and they had shows only at specific times in the day not sure why they dont inform visitors about that beforehand when buying tickets"
"509","awesome scenery awesome statue the tourism facility is good ps better to go afternoon approximately at  pm till  pm to avoid the direct sunlight enjoy the view "
"510","a statue of garuda wisnu kencana which is said to be higher than the statue of liberty has been made and was inaugurated on  september  although there is a new statue the statue of wishnu and the old garuda statue still remains the "
"511","beautiful park many tourist attraction if arrive the the righ time you can catch to watch the balinesse traditional dance show at the time of this review drone is allowed here"
"512","still the monument is not complete and under construction  but worth visiting  u will have to walk so much here  but the monuments are fabulous ticket and parking is cheap if this tour is not in your itinerary  just tell your driver that u will pay his parking and give him a tip dont miss this but"
"513","a well spread  acre area for this cultural park the area is cut in the hill of lime stone and huge cliffs of cut hill forms various segments for vishnu  garuda and other images the entrance fee is not more rupiahs  per head but it "
"514","garuda wisnu kencana cultural park or gwk is a tourist destination and attraction located at ungasan badung on the island of bali indonesia about  minutes drive from ngurah rai international airport"
"515","very helpful staff thanks to mauricio  security for helping me with a taxi after my phone died lovely views to the airport and kuta beach reasonably priced souvenir shop very impressive statues of garuda wisna and krisna"
"516","had a great day in the park the free water and neck scarf were a bonus many many impressive monuments to see park still under some renovation hence only  stars"
"517","this place is quiet and offering some of traditional performances in the amphitheatre you should go to this place in the morning about  or  am because at am it will be quite crowded inside the gwk area there are souvenirs shop or place to grab some of meals and drinks"
"518","located in the hill this place have beautiful scenery this place is combination between bali culture and nature if you come in the right time you can watch balinese parade or even balinese dance the garuda wisnu kencana statue isnt "
"519","built for tourism  the main statue is completely built but theres still some construction project "
"520","very well maintained full of beautiful courtyards and landscape just a tip  theres a few steps to climb to enter the main square please allow plenty time during busy hours"
"521","can do lot of activity  large and nice but we still can not to go up bcause under construction cheers  have a good holiday "
"522","im in love with this place its really suit for someone who likes to enjoy the heritage building and park and also you can enjoy the kecak dance in the end of the day at amphitheatre i will definitely going to this beautiful place again"
"523","the park itself is very neat and convenience for walking through paving path the surrounding is clean with thoughtful cliffs cutting come at night the lighting is  however for the kecak dance perf i cant see the mystical aura within the dancers looks like it has already fabricated to fulfill the industry "
"524","clearly still under development despite the statue being officially inaugurated the park area is mostly just walking through with high walls carved out off the hill and will serve a greater purpose down the line at this moment not a must to visit but if you are around the area you might pop by"
"525","if youre pressed for time and want a balinese cultural experience this is a must do theres a variety of dance food and cultural events plus segway rides if youre interested"
"526","the ticket entrance are quite expensive there you can see the statue garuda wisnu kencana and few statue im not recommend this place but its ok to have experience visit this place for one time in my life but sorry im not going back"
"527","the statues are impressive two big ones are open for exposition and one huge statue is being constructed  you can only see it in the distance as part of your ticket you can also see a live dancetheater show every hour"
"528","could be better since it seems like they had big ideas for the park but its just those big statues for noe"
"529","it is in progress but still amazing culture construction you can see bali dances like kecak dance or barong dance also"
"530","you could see the statue of god vishnu and garuda bird on the vishnu platform uphill you could see tanjung benoa also sanur area and if youre lucky you could see mt agung theres also an amphitheatre for you to watch the barong keris dance a restaurant to fill your stomach with great food"
"531","brilliant and great to see it finally almost finished"
"532","cool park the story about this god is very interesting too  you can walk the whole park it isnt really long or exhausting dave the money for the shuttle bus p"
"533","idk why this place isnt publicized as much as it should be most travel agents wouldnt include it in their packages i went there with my wife during out trip to bali and impressive is an understatement the park is huge with a lot of "
"534","very nice gardens and views well worth a visit lots of opportunities for great photos and restaurants as well"
"535","quite an impressive statue but the park itself is fairly derelict other than a few shops and an outdoor theatre they show images of what they have intended for the park which includes a water park and waterfalls but no evidence of any "
"536","garuda wisnu kencana was incredible place price of the entrance ticket for adult rp  we have some great photoshoot here and its really really great place  "
"537","this is the fourth largest statue in the world the statue of liberty is a tiny tiny doll next to this magnificent piece of work "
"538","i love the place very much and very quiet place with beautifully view but ticket price is little on higher side which is  indonesian rupee"
"539","gwk is a little out of the way but certainly worth a visit its a long uphill walk past the ticket office to the entrance so be ready for it"
"540","went there with my partner walking and able to get inside and enjoy the view for free must see if your in jimbaran area and wanting to see places that is out of your itinerary"
"541","incredible waste of time it takes  hours of travel to see the statue for  minutes from the parking they take you up in a bus to the ticket office from there you take a trolley up to the statue after seeing the statue you take the "
"542","the worst place i have came to on this island or any other surrounding  island as the day went on it was disappointment after one another constantly paying for parking shuttle entrance another entrance another shuttle and another fee "
"543","this place is a classic tourist trap you pay to enter at the road then theres a park entrance fee a shuttle fee to get to the statue etc the overall price is  idr per person you can pay around  idr per person to avoid "
"544","what a rip off waited in the sun for  minutes after paing entrance fee after that we learned that there are only small shuttle buses for  people every  minutes so we sould wait for another ar least  minutes and no refunds and no possibilty to go by walk shame on you worst experience ever"
"545","been here many times before the status was built this is the first visit after it was completed an impressive place to visit and spend the day to learn about local culture but "
"546","bad experience and not worth visiting majority of park is closed is it really g fault you can visit big sculpture where elevator is not working and art museum which is prepared for payed photoshoots organization is chaotic need to wait shuttle cars as cant walk anywhere"
"547","iam differently abled man visited with my family   nos we payed the entrance fee and bungee tickets i was told i will be droped back while going they dropped me haf way and driver refused to help me it took me almost  hours to reach back "
"548","long lines for tickets stupid management  why cant they put vending machines for tickets long lines for shuttles to the monument and to parking lots the shuttle dropoff lie to you and drop you off much earlier than the drop off point "
"549","i was a total ripoff entrance was  each person for basically a walk in a park not a beautiful one and a big statue to watch from the ground at the end of the park going up to the statue was another  what itself was not "
"550","money money money interesting place with some nice mega statues but somehow i find it very commercialised there are additional charges for transport and tour within the statue can be quite pricey k per pax if you add them all up "
"551","the sculptures are impressive but overall its not worth a visit i would just find a nice view point to see the garuda wisnu kencana statue"
"552","its our first time to gwk and it was a very confusing and very bad first impression with parking another struggle having to go to different location to exchange online ticket and in all these confusion i have a very bad impression with "
"553","there is no proper ticketing station signage make us head directly to entrance gate then the staff on entrance gate tell us back to the somewhere on the edge of the earth to buy ticket"
"554","yet another balinese tourist trap  pretty on par for a country that seems to lack any real authenticity just cash grab after cash grab after cash grab"
"555","honestly its just a big con overcharge you for something you can see driving by dont waste your money"
"556","renovating doesnt worth it they put you to pay full price when you can go free taking the driveway from village"
"557","total rip off for foreigners ticket to see the big statue another ticket to take the buggy ride to the statue another ticket to take the lift inside the statue too expensive for too little one can see the statue for free from distance free drink is lemonade in small glass total waste of time and money"
"558","not worth for money over price overcommercialisation visit for nothing there is no museum inside "
"559","so disappointing raining paid entrance fee for  rupiah and got nothing had to pay another  rupiah to ride a transport from the gate to the statue then paid another  rupiah to go inside the statue total paid rp  to see photographs inside the statue and a ml of ice lemon tea"
"560","i bought tickets online for  people a day before to see this ogohogoh event  kecak dance when me  my family arrived they cancelled everything all of a sudden their excuse was because of the bad weather but the rain has stopped  "
"561","bad management ticketing is very slow very inefficient after ticketing queue you need to queue again for the pedestal bus they should provide more buses rather than ask people to wait under the sun"
"562","the service is horrible the ladies at the counter are super slow it takes  min to serve one customeri was almost leaving the queue and not going to the park"
"563","tourist trap the big statue is at the end of the park and it is very far away and there is no sign at all lots of things are not finished watched the kecak dance and it is too fake lots of the dancer are laughing in the middle of the ritual"
"564","overpriced for the money few things to see and the free drink is a joke"
"565","paid k only to walk to the base of the statue the next tour to go up is additional k but not available until the next  hours poorly managed  not recommended"
"566","we never ever goto this place again its so expensive k per person shuttle for k per person and got nothing see only until ground floor if u want go up another floor you have to purchase another ticket so much rip offlmfo "
"567","very long lines for tickets long lines for shuttles poor management"
"568","not worth it tourist trap maybe only if you are really into performances and can spend the whole day watching traditional dancing and other activities then maybe the price is okay but k adult is kind of pricey the big statue is "
"569","terrible experience the place is still being built  tourists are not yet allowed on top yet you only find out after paying exorbitant ticket fares the best view of the statue is "
"570","seriously if i could give this place zero stars i would there is nothing remotely cultural about the place after paying for a taxi to get here we were stung with paying  more entrance fee as we are tourists you then have to walk some "
"571","for local people perhaps worthy  for foreigner just pass not worthy "
"572","price so expansive for very poor place nothing to do not ready maybe later when they will finish building works"
"573","very average it just has this big statue nothing more to offer it definitely doesnt justify the entry cost the area inside is huge and walking the entire becomes exhaustive there are no proper board and anyone to tell where to go for "
"574","tourist trap the park is not finished and it doesnt look like they plan to finish it you have to pay extra for every little thing the statue is impressive but its placed on an ugly looking building no chance to take a good picture also all the good reviews here seem bought reviews i dont recommend it"
"575","more an unfinished real estate development than a cultural experience just an old quarry using statue as a tourist trap to raise money whole thing is far from finished and everything is obviously set up to separate unsuspecting tourists "
"576","this park is a joke just some new big statues that seem to have only commercial purposes clear intention of this cultural park is to make as much money as possible out of tourists for the  rupee entrance fee you get nothing as "
"577","thought it was a historic monument  that it is not"
"578","the park is not finished at all there is little to see apart from the big statue which is nothing special the entrance fees were quite high for what it is perhaps if ever finished as in the plans it would be worth s visit until then spend your money on something better"
"579","waste of time beautiful statues but thats all pay k for entrance should paid another k to go inside statue for a museum and a view of bali not worth it no clear exit sign staff arent helpful either asked for directions to staffs only to have us run around in circles"
"580","amazing statue but best to view it from the highway instead the rest of the park has nothing else to see you have to pay k to get in which then involves a shuttle bus and a very long walk maybe when the park is finished it will be worthwhile we unfortunately wasted an entire afternoon"
"581","total ripoff spent lots of time waiting for transportation and ticketing upon arriving the statue is huge from outside but you could only access the ground floor which is a gallery area without much to see access to higher floor of the "
"582","not really worth it  for the entrance price of k you get to see  statues and walk around a fairly "
"583","this place is made solely to attract tourists and is not even finished there is nothing genuine or historic about it if we would have known we would not have gone here dont waste your time here  go to any beach the jungle ubud or go "
"584","the statue itself is impressive no doubt about that however make sure when you arrive and buy your tickets that you receive all necessary receipts and more importantly individual entry coupons after arrival me and my fiance bought our "
"585","tourist trap hard to understand this amount of positive reviews the tower is inaccessible the shows are loud the commentator kept shouting in indonesian only making the dance not enjoyable  and worst of all the place is still under "
"586","my experience with this place was really bad first of all its definitely overpriced k for foreigners and k for locals theres not enough information and most importantly not enough staffs there are like  staffs inside and its not "
"587","worst experience of our stay in bali expensive entrance fee k while the only thing we could see was the large statue  from the outside to do a tour to go inside to the top you have to pay k more biggest party of the park was "
"588","tourist trap paid way too much money for a very disappointing experience they charge separately for golf cart rides to the statue it is not within walking distance from the entrance if you happen to be old handicapped or didnt bring "
"589"," persons k wasted money nothing to see there only  big statues  not special the biggest one needs to pay another k person even many places are blocked for innovation "
"590","this place seems like it will be nice once it is finished but at time of writing it is a tourist trap designed to take your money price had recently increased k idr for adult foreign tourist and the vast majority of attractions "
"591","huge place need to follow well the organization parking then shuttle then many restaurants shops need to walk a lot if you want to go to the statue  steps more or an aditionnal shuttle not free that one so if you are looking for historical nature traditionnal place dont go there "
"592","its disappointing k only to see statue that same for each year and not improved even the view of the construction is better at parking spot than the main spot also the way their system to go to main spot with shuttle bus is the worse dont ever go here till the site is finished"
"593","dont bother at least until its finished and you can go inside and up the main statue this place is totally discombobulated to say the least even the car park isnt finished top tip dont go in the middle of the day you are not "
"594","i would not recommend this place to tourists visiting bali for a short time  go to a beach or a temple instead the entry fee to get in is absolutely exorbitant the parks layout is nosensical and the layout does not match the map take a "
"595"," idr per adult and the only thing you can get close to is the garuda  plaza the main huge statue you can see from afar "
"596","they charge fee to get in and once you walk upto the statue another fee is asked for to go up in statue to viewing platforms but you are not allowed to take any cameras to capture the view excuse was copyright laws as if that matters in "
"597","dont spend your time going here its a newly built tourist trap from  year ago the structure is impressive but they tried to force us to do another loop past the shops to get out when we were already right at the exit"
"598","second time here first time it was shut for jokowi visit now i arrive and pay for  adults    idr each to go to statue so we can go up and look at the view its a long hot walk up only to find when we arrive the elavator doesnt work "
"599","very expensive they get you to pay extra for anything not worth going as even to go to the statue you need to pay for transport thats if you dont want to walk and then you get to the bottom of the statue and to get upstairs you have to "
"600","photo both by entrance you have to stand for taking picture you have to the staff said it shouldnt be like that is up to the visitor if they want to be picture taken "
"601"," agree when people said if i could give a zero rate im gonna do that just burn money skin and face everything here just money oriented entrance ticket k car parking ticket k elevator to the top of statue kperson not "
"602","paid k for  tickets and an additional k for shutter bus to the statues because the pathway was closed with two other attraction que for the shutter bus was around mins under the sun way over priced not worth it spent your money elsewhere"
"603","overhyped nothing is finished except for the merchandise store the big statue is nice but the rest of the park was almost empty totally not worth the fairly high price that you have to pay to get in"
"604","the worst way to spend k rupia the park looks like it has been bombed there is absolutely nothing in there apart from  ok and  impressive statue then just lot of empty spaces and piles of garbage absolute scam to charge this much just take a picture of the main statue from the road and keep going"
"605","i dont like leaving low reviews or any reviews if i havent actually made it into a place but leaving a rating as the park was closed for two days for a presidential visit really annoying because it said this nowhere on the website or at "
"606","the place is under construction the paid areas are too expensive  update "
"607","useless you have to pay to walk under the sun up to the big statue and if you want to visit the statue you have to pay again and photo bag are not allowed so please visit other beautiful sites "
"608","adult fee  idr not worth it  a few big statues and some panoramic view  traffic was very bad took over hrs from seminyak center came at pm"
"609","too bad not at all worthy the ticket price"
"610"," two thumbs down  expensive  not interesting  total tourist trap  good for kids i imagine  "
"611","this place doesnt even deserve  star we have been travelling asia now for  months and this was the worst tourist attraction we have been too "
"612","never come here during weekends and local holidays this park has a bad system of handling large influx of visitors at the visitors drop off point at the parking lot theres only a tent where "
"613","dont go here go and see a statue in a roundabout instead  i dont consider this an attraction its a monument of classic failure where a "
"614","nothing special you can skip this for sure"
"615","what a shame please dont go here  the park is open until  but if you get to the park in the evening due to "
"616","i wish i stayed away from this tourist attraction its expensive k ird and has actually nothing interesting to offer one can say that rocky pillars and two huge sculptures are worth seeing but views provided by google maps are sufficient enough"
"617","this place only exists to take money from visitors k is way too much for what you get out of it even if they do give you a warm glass of iced tea for no additional cost you can wander around enjoy a great view of bali from the south "
"618","statue is beautiful but have to pay for entrance then shuttle bus then to lotus garden then have to pay again to see inside statue park not finished construction yet"
"619","expensive  half of the statues were close  you have to walk by every shop to get to the statues we wanted a refund but they didnt care typical american park made to sell products it has  potencial to grow but for now its not worth it"
"620","too expensive you have to pay extra to get up the statue and you are not allowed to take pictures they also dont tell you that you have to pay extra to get up the statue your not allowed to drink your own water inside would not recommend it"
"621","this is just a tourist trap completely skippable specially for people from the sun continent overpriced entry fee as well much better things to do in bali"
"622","car park far from entrance lack of shuttle bus waiting in very crowded and hot area charge very high for only a statue and stone and extra charge for golf car ride to big statue not within walk distance for family with toddler what a money wasting"
"623","the existing site was quite cool but when you want to visit the newer statue area is really annoying only  bus available and have to wait every  hour to go there they need to fix the bus schedule at least every mins each trip"
"624","it was big mistake to spend so much money for nothing this place should be fun and relax park in the future but the work stopped in the begining only empty place with few statues no historical buildings"
"625","they told us that this was the biggest temple in bali in real this is just a place for chic events and its used to gain money from tourists everything is fake compared with other temple in the island also too expensive"
"626","pay pay pay at every gate this place feels like a revenue raising tourist trap sure the statue its impressive but they want another  then another  of you want a golf cart  you guessed it  more  "
"627","really great experience to see this monument but additionally to idr entry they wanna have idr for entering the platforms in the statue thats outrageously"
"628","nothing interesting here you pay for  idr for nothing unfinished huge garuda wisnu statue and the dance dance sample only if you are a smart tourist really want to know the art of "
"629","waste of time and money its spectacular but not worth the price forced to pay shuttle bus fee to go to the largest statue but its unfinished and not allowed to enter "
"630","there is no point to go there it is still on construction and you have  other better places to visit while being in bali touristic place made for tourists and with no soul so far"
"631","they rob people to show three stones"
"632","it s a construction side with  statues you cant get close to the biggest statue there s construction work on going everywhere despite you have to pay the full price which is super expensive k"
"633","very expensive only for watching and take photo to the statue i had loss my cap one of them not return back to me as i am indonesian feeling very sad"
"634","way too expensive k idr per person for two statues you can visit and dances which are only performed every  hours the rest of the park is under construction"
"635","complete waste of money park fee doesnt include the fee to go up the statue get there and have to pay again there is nothing outside dont go"
"636","beware all foreign travelers not far from the exit you might find a police checkpoint asking you for your driving license this is a shakedown for  idr dont budge and just say you will call you embassy"
"637","pretty boring place seemed kind of weird to me theres a bug statue that you can see from outside the facility to go up you have to pay extra not my thing"
"638","not worth the entrance price and the time at all there is nothing cultural the whole place is just a show and two sculptures the large sculpture you see on website is only half built it is not real"
"639","boring and expensive not worthy to visit"
"640","i cant choose zero stars but i would extremely expensive for absolutely nothing do yourself a favour and pull over on the side of the road to take a photo of the statue instead of paying to get in do not go huge trap"
"641","overpriced the tall statue isnt finished yet you cant take the elevator up while they dont tell you this you they do ask  dollar for a ticket"
"642","something you can easily skip and not miss out if you love being bilked by religious folk sign right up otherwise just a money grab in the guise of religion"
"643"," rp per foreigner even for kid too expensive for few big status but before the entry there is a big stone area looks interesting and free"
"644","expensive and not much to see a repurposed quarry with a bunch of unfinished overly ambitious monumental projects trying to magically transform into disneyland watch the videos for details"
"645","k per person to walk to a huge statue take  photos and go home its a gimmick theyll have you walk for  minutes in the park just to make you think its worth it"
"646","this place is a sheer is a waste of money and time please avoid this in your list as there are so many other beautiful places as compared to this park which has nothing but this huge statue"
"647","price k for foreigners  k for parking too overpriced for bali the statue is still a construction site not worth the price at all"
"648","too big and too hot to cover the main statue can be clicked from far away very nicely not much to do"
"649","as other users have said its a tourist trap also expensive  for a ticket while accessing uluwatu temple is  "
"650","very bad service just liars trying to steal ur money"
"651","disappointingtourist trap k entry to see fake replica relics and a construction site the free drink is an awful lemon ice teasod that"
"652","visited this place definitely not worth the money nor does it have anything to visit just statues  and large park why would anybody pay that much for seeing that"
"653","very good on first impression but the temple was finished being built in   think about it"
"654","yes its a definite tourist trap go further up to uluwatu still full of tourists but worth the views"
"655","first of all the fees charged are only for the entrance and later on there is a separate charge for the entrance to the statue"
"656","pass your time at a man made artificial monstrosity that has been cut out of the once lush hillside dull and characterless"
"657","not worth the time quite expensive restaurants are not good shows are really bad what a tacky experience"
"658","too expensive you pay k which i think is too much for couple monuments"
"659","total tourist trap expensive and the lift is broken so cannot go up dont there"
"660","the ultimate tourist trap they charge u  different places total bs"
"661","not a real park yet i think need a lot developing to be a nice one rock on"
"662","ripoff stay away"
"663","looting place all price is x government wants to recover all the money of construction probably in one year by looting the tourist"
"664","not worth visiting over hyped place absolutely nothing to look at"
"665","nothing like what it is advertised like really disappointed and a waste of money wish we could get our money back"
"666","scene is really boring and not much otherwise not yet finished actually expensive admission"
"667","highly overrated for the price there is nothing special except a huge statue"
"668","i dont know why the hell you pay online and queue for online tickets is slower than normal queue"
"669","super hot and super super super crowded dont waste ur time"
"670","disgusting place terrible service nothing to explore"
"671","rubbish very little to see and do not worth the money to get in not even finished being built dont bother going"
"672","a huge disappointment tickets cost way too much considering what this place has to offer"
"673","the entrance fee is too expensive not worthy for "
"674","because my shoes drop in outside the bus and i was shock and then i said stop the bus but the driver of the bus still not brake the bus"
"675","not worth to visit better take a pictureselfie from radius  miles"
"676","do not waste your time and money  do not go here  terrible borring  nothink good to see"
"677","its not like a bali its look a like hongkong expensive and nothing to see"
"678","too expensive no historical value all newly made with modern technology"
"679","too expensive  prices  for locals  for tourist that is discrimination in a holy place"
"680","prices are ridiculous also for local and tourist different fares"
